,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
152,152,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97t0075/r97t0075.html,R97T0075,Railway Investigation Report R10E0080 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-05,6 July 2010,17 October 2011,2237
153,153,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97t0097/r97t0097.html,R97T0097,Railway Investigation Report R10E0096 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-05,18 August 2010,26 October 2011,1958
154,154,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97t0299/r97t0299.html,R97T0299,Railway Investigation Report R10M0026 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-05,13 June 2010,07 July 2011,3241
155,155,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97v0063/r97v0063.html,R97V0063,Railway Investigation Report R10Q0011 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-05,25 February 2010,14 October 2010,7368
156,156,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98c0022/r98c0022.html,R98C0022,Railway Investigation Report R10Q0037 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-06,23 August 2010,14 June 2011,1617
157,157,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98d0184/r98d0184.html,R98D0184,Railway Investigation Report R10T0020 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-06,9 February 2010,28 September 2011,8442
158,158,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98m0020/r98m0020.html,R98M0020,Railway Investigation Report R10T0035 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-06,2 March 2010,11 August 2010,2402
159,159,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98m0029/r98m0029.html,R98M0029,Railway Investigation Report R10T0056 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-06,30 March 2010,24 February 2011,3997
160,160,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98t0042/r98t0042.html,R98T0042,Railway Investigation Report R10T0213 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-06,1 October 2010,26 October 2011,5775
161,161,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98t0141/r98t0141.html,R98T0141,Railway Investigation Report R10V0038 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,3 March 2010,23 June 2011,4885
162,162,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98t0292/r98t0292.html,R98T0292,Railway Investigation Report R10W0123 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,14 June 2010,07 July 2011,2191
163,163,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98v0100/r98v0100.html,R98V0100,Rail Investigation Report R11C0118 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,21 October 2011,05 September 2012,2423
164,164,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98v0148/r98v0148.html,R98V0148,Rail Investigation Report R11D0075 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,24 September 2011,31 October 2012,1930
165,165,https://tsb.gc.ca/eng/rapports-reports/rail/1998/r98v0183/r98v0183.html,R98V0183,Railway Investigation Report R11D0099 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,9 December 2011,12 December 2012,4151
166,166,https://tsb.gc.ca/eng/rapports-reports/rail/1999/r99d0159/r99d0159.html,R99D0159,Rail Investigation Report R11E0063 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-07,23 June 2011,26 September 2012,3978
